Ligand,Score
CHEMBL3833351,-16.1839
CHEMBL3833409,-13.8573
CHEMBL1410808,-12.925299999999998
CHEMBL3833358,-10.0093
CHEMBL3989678,-9.9672
CHEMBL5095048,-9.847199999999999
CHEMBL5095505,-9.5383
CHEMBL3990694,-9.3446
CHEMBL3833322,-9.3125
CHEMBL3989756,-9.134
CHEMBL3990276,-8.6296
CHEMBL3989843,-8.4786
CHEMBL3187985,-8.3871
CHEMBL1201015,-8.2226
CHEMBL3392049,-8.1266
CHEMBL3989515,-7.933400000000001
CHEMBL3989698,-7.847799999999999
CHEMBL1200387,-7.565600000000001
CHEMBL3989845,-7.3347999999999995
CHEMBL5315052,-7.2513000000000005
CHEMBL1200782,-7.2444999999999995
CHEMBL3707282,-7.129099999999999
CHEMBL1237061,-7.1213
CHEMBL3544971,-7.1163
CHEMBL3989858,-6.975
CHEMBL1201038,-6.972499999999999
CHEMBL3989820,-6.9179
CHEMBL1370561,-6.9179
CHEMBL2218916,-6.888
CHEMBL3989856,-6.8696
CHEMBL3833314,-6.802
CHEMBL3989923,-6.7608999999999995
CHEMBL3989563,-6.7284999999999995
CHEMBL2110368,-6.721299999999999
CHEMBL3833406,-6.6449
CHEMBL55400,-6.5926
CHEMBL3142541,-6.5645
CHEMBL3187246,-6.5481
CHEMBL1746,-6.4742999999999995
CHEMBL6466,-6.3834
CHEMBL1201260,-6.3695
CHEMBL2103844,-6.362699999999999
CHEMBL2103736,-6.3369
CHEMBL2355839,-6.3156
CHEMBL1200467,-6.301
CHEMBL46469,-6.2813
CHEMBL3989885,-6.2802
CHEMBL3185229,-6.2713
CHEMBL3989521,-6.242900000000001
CHEMBL1770,-6.2188
CHEMBL1243,-6.2149
CHEMBL383675,-6.1891
CHEMBL711,-6.1653
CHEMBL3989826,-6.1631
CHEMBL3989750,-6.1578
CHEMBL1200912,-6.114800000000001
CHEMBL5315119,-6.1135
CHEMBL1593558,-6.1075
CHEMBL2107679,-6.0492
CHEMBL1239,-6.0327
CHEMBL1257015,-6.0109
CHEMBL169901,-6.0003
CHEMBL625,-5.9682
CHEMBL3188993,-5.9658999999999995
CHEMBL1107,-5.9573
CHEMBL1568057,-5.9556
CHEMBL3304484,-5.949
CHEMBL2103870,-5.9435
CHEMBL1265,-5.9408
CHEMBL1200901,-5.923299999999999
CHEMBL1315867,-5.916
CHEMBL3833339,-5.9133
CHEMBL1514715,-5.9036
CHEMBL3184986,-5.8965
CHEMBL1200358,-5.892799999999999
CHEMBL1599768,-5.888599999999999
CHEMBL3181947,-5.8771
CHEMBL3989568,-5.8702
CHEMBL3544908,-5.8659
CHEMBL5095050,-5.8585
CHEMBL3989855,-5.8512
CHEMBL4594272,-5.8441
CHEMBL3989798,-5.841
CHEMBL3039526,-5.837400000000001
CHEMBL2106660,-5.8155
CHEMBL3989693,-5.8065
CHEMBL1329567,-5.8007
CHEMBL2106794,-5.7883000000000004
CHEMBL1314751,-5.7813
CHEMBL2068724,-5.7806
CHEMBL2105613,-5.7652
CHEMBL2106191,-5.7628
CHEMBL1200936,-5.7595
CHEMBL3989570,-5.7578000000000005
CHEMBL3989691,-5.7491
CHEMBL1201050,-5.743399999999999
CHEMBL1089,-5.742900000000001
CHEMBL1469,-5.7421
CHEMBL1200695,-5.7366
CHEMBL1256391,-5.7216000000000005
